book,st1_units_scored,st1_units_segmented,st1_total_words,st1_mean_chapter_words,st1_mtld_mean,st1_mtld_unreliable_runs,st1_cliche_per_1k,st1_slop_per_1k,st1_em_dash_per_1k,st1_dialogue_ratio_mean,st1_distinct_3_ratio,st1_self_bleu_mean,st1_intra_unigram,st1_intra_bigram,st1_intra_trigram,st1_burstiness_mean,st1_duplication_suspected,st1_max_pairwise_sim,st1_max_verbatim_chars,st1_n_flagged_pairs,st1_opening_mean_pairwise,st1_opening_high_pair_rate,st1_cast_size,st1_recurring_cast_size,st1_person_mentions_per_1k,nd1_judge,nd1_units_scored,nd1_units_segmented,nd1_total_words,nd1_paragraphs_annotated,nd1_paragraphs_total,nd1_complete,nd1_tension_mean,nd1_tension_std,nd1_tension_min,nd1_tension_max,nd1_tension_peak,nd1_tension_peak_position,nd1_tension_calm_share,nd1_tension_high_share,nd1_tension_volatility,nd1_tension_tail_mean,nd1_tension_tail_final,nd1_br_setting_share,nd1_br_character_desc_share,nd1_br_lore_share,nd1_br_dialogue_share,nd1_br_action_share,nd1_br_interiority_share,nd1_br_transition_share,nd1_br_switch_rate,nd1_br_words_per_mode_segment,nd1_br_interiority_self_transition,nd1_br_secondary_shading_rate,nd1_br_setting_touch_rate,nd1_th_threads_total,nd1_th_threads_2plus,nd1_th_switch_rate,nd1_th_run_length_mean,nd1_th_run_length_max,nd1_th_convergence_events,nd1_th_first_convergence_position
austen-emma,55,55,157321,2914.93,91.16,0,0.03,0.01,18.32,0.466,0.8087,0.3081,0.436,0.187,0.029,-0.082,False,0.031,34,0,0.074,0.0,239,72,25.76,ai_helper:openrouter:deepseek/deepseek-chat,55,55,157321,2318,2318,True,2.96,1.21,1,7,7,0.845,0.82,0.0,0.96,2.67,2,0.006,0.017,0.016,0.659,0.172,0.127,0.002,0.398,164.6,0.256,0.116,0.009,4,3,0.481,2.04,15,24,0.45
austen-persuasion,24,24,83233,3470.83,95.93,0,0.05,0.01,1.52,0.307,0.8691,0.2283,0.444,0.186,0.027,-0.107,False,0.038,30,0,0.084,0.0,113,52,27.6,ai_helper:openrouter:deepseek/deepseek-chat,24,24,83233,1011,1011,True,3.38,1.07,2,6,6,0.812,0.67,0.0,1.09,4.0,2,0.015,0.031,0.047,0.499,0.221,0.186,0.002,0.512,157.3,0.294,0.136,0.026,4,2,0.348,2.67,7,0,
austen-pride,61,62,126462,1997.74,102.23,0,0.02,0.02,3.71,0.454,0.8389,0.2835,0.352,0.14,0.017,-0.165,False,0.041,32,0,0.092,0.0,108,66,25.37,ai_helper:openrouter:deepseek/deepseek-chat,61,62,126462,2079,2095,False,3.51,1.51,1,8,8,0.549,0.66,0.02,0.95,3.83,1,0.007,0.017,0.013,0.64,0.225,0.096,0.002,0.408,136.9,0.23,0.106,0.011,5,4,0.333,2.9,9,33,0.17
bronte-janeeyre,38,40,185262,4904.16,98.79,0,0.05,0.11,10.36,0.416,0.8715,0.2254,0.402,0.17,0.02,-0.121,False,0.026,31,0,0.078,0.0,316,95,12.23,ai_helper:openrouter:deepseek/deepseek-chat,38,40,185262,4048,4048,True,5.05,2.21,1,9,9,0.671,0.37,0.18,2.05,5.5,1,0.032,0.024,0.01,0.684,0.156,0.093,0.001,0.401,111.9,0.235,0.155,0.053,5,5,0.216,4.22,8,0,
buchan-greenmantle,22,23,98664,4476.82,95.89,0,0.0,0.03,2.82,0.328,0.865,0.2432,0.436,0.205,0.027,-0.306,False,0.026,33,0,0.114,0.0,319,72,11.76,ai_helper:openrouter:deepseek/deepseek-chat,22,23,98664,1724,1724,True,6.27,1.6,3,8,8,0.25,0.14,0.23,1.62,7.5,7,0.062,0.033,0.013,0.468,0.31,0.111,0.003,0.56,100.8,0.232,0.266,0.111,4,3,0.286,3.14,11,2,0.93
buchan-thirtyninesteps,10,10,40760,4089.2,90.98,0,0.02,0.02,2.8,0.279,0.8947,0.1924,0.421,0.209,0.03,-0.296,False,0.019,29,0,0.169,0.022,131,33,6.75,ai_helper:openrouter:deepseek/deepseek-chat,10,10,40760,721,721,True,6.9,1.14,4,8,8,0.05,0.0,0.3,1.22,7.0,7,0.058,0.029,0.033,0.384,0.35,0.14,0.006,0.571,98.0,0.283,0.273,0.118,7,2,0.667,1.43,3,0,
childers-riddlesands,28,29,108415,3876.68,105.82,0,0.05,0.12,7.51,0.325,0.8884,0.2115,0.368,0.167,0.019,-0.162,False,0.023,36,0,0.074,0.0,208,57,6.35,ai_helper:openrouter:deepseek/deepseek-chat,28,29,108415,1890,1890,True,4.68,1.69,2,8,8,0.982,0.32,0.04,0.96,6.33,8,0.048,0.012,0.038,0.628,0.187,0.083,0.006,0.44,126.9,0.166,0.27,0.101,11,4,0.815,1.22,3,7,0.62
collins-moonstone,60,60,194601,3271.48,81.99,0,0.03,0.03,9.39,0.307,0.7737,0.3391,0.43,0.208,0.041,-0.242,False,0.049,60,0,0.096,0.002,173,72,18.13,ai_helper:openrouter:deepseek/deepseek-chat,60,60,194601,3605,3605,True,4.62,1.98,1,9,9,0.742,0.37,0.08,1.97,3.17,4,0.015,0.022,0.042,0.528,0.266,0.113,0.014,0.542,98.3,0.173,0.158,0.026,20,7,0.661,1.5,7,20,0.17
collins-womaninwhite,61,61,244423,4043.39,83.02,0,0.05,0.03,9.67,0.264,0.7763,0.3383,0.443,0.214,0.038,-0.197,False,0.078,79,0,0.085,0.0,219,76,14.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conrad-heartofdarkness,3,3,37904,12834.0,90.35,0,0.02,0.05,16.12,0.948,0.92,0.1282,0.564,0.274,0.047,-0.1,False,0.015,34,0,0.1,0.0,48,6,5.01,ai_helper:openrouter:deepseek/deepseek-chat,3,3,37904,198,198,True,4.0,2.16,2,7,7,0.833,0.67,0.0,2.5,7.0,7,0.141,0.091,0.015,0.394,0.242,0.096,0.02,0.677,280.8,0.167,0.495,0.222,2,1,0.5,1.5,2,0,
conrad-lordjim,45,46,129920,2873.64,97.37,0,0.07,0.06,10.84,0.191,0.8617,0.2508,0.347,0.158,0.02,-0.095,False,0.026,34,0,0.072,0.0,178,44,8.39,ai_helper:openrouter:deepseek/deepseek-chat,45,46,129920,642,642,True,5.18,2.11,2,9,9,0.678,0.36,0.16,1.59,7.75,9,0.084,0.04,0.067,0.46,0.226,0.12,0.003,0.593,323.6,0.119,0.531,0.165,14,6,0.477,2.05,9,2,0.94
conrad-secretagent,13,13,90202,6961.15,100.55,0,0.1,0.03,5.49,0.275,0.8738,0.2054,0.475,0.226,0.042,-0.15,False,0.017,31,0,0.133,0.0,101,27,11.08,ai_helper:openrouter:deepseek/deepseek-chat,13,13,90202,1610,1610,True,4.54,2.13,2,9,9,0.808,0.46,0.15,2.17,4.0,4,0.031,0.065,0.013,0.565,0.209,0.118,0.0,0.615,90.7,0.267,0.243,0.053,9,3,1.0,1.0,1,0,
dickens-bleakhouse,67,69,353328,5287.45,81.42,0,0.05,0.04,6.06,0.383,0.7814,0.3227,0.494,0.236,0.048,-0.1,False,0.027,45,0,0.081,0.0,471,190,22.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dickens-taleoftwocities,45,45,135539,3027.38,75.72,0,0.04,0.05,5.17,0.35,0.8588,0.2293,0.415,0.188,0.037,-0.119,False,0.036,44,0,0.104,0.0,196,63,13.59,ai_helper:openrouter:deepseek/deepseek-chat,45,45,135539,3314,3314,True,6.0,2.3,2,9,9,0.611,0.24,0.4,1.91,8.5,9,0.049,0.034,0.028,0.633,0.21,0.04,0.005,0.436,92.3,0.205,0.136,0.075,24,7,0.909,1.1,3,10,0.57
dumas-montecristo,117,119,459951,3963.21,91.48,0,0.08,0.03,6.15,0.546,0.7674,0.359,0.454,0.2,0.036,-0.149,False,0.04,60,0,0.09,0.0,696,226,17.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunsany-elfland,34,35,69632,2039.59,70.36,0,0.05,0.41,0.1,0.05,0.853,0.2569,0.447,0.189,0.038,-0.222,False,0.034,40,0,0.121,0.0,44,19,6.17,ai_helper:openrouter:deepseek/deepseek-chat,34,35,69632,811,811,True,4.56,1.97,2,8,8,0.074,0.5,0.09,1.7,6.0,6,0.144,0.025,0.091,0.296,0.34,0.092,0.011,0.596,139.5,0.083,0.436,0.264,14,7,0.788,1.26,3,3,0.46
eddison-ouroboros,33,34,169991,5085.39,102.66,0,0.05,0.08,0.32,0.476,0.8689,0.2347,0.477,0.177,0.027,-0.162,False,0.03,51,0,0.175,0.002,476,155,16.57,ai_helper:openrouter:deepseek/deepseek-chat,33,34,169991,2478,2478,True,6.91,1.62,2,9,9,0.045,0.06,0.45,1.97,6.0,2,0.063,0.034,0.056,0.621,0.184,0.019,0.023,0.409,162.6,0.119,0.209,0.1,12,6,0.656,1.5,7,8,0.59
eliot-middlemarch,88,89,316167,3614.93,105.86,0,0.1,0.05,7.64,0.357,0.8062,0.3124,0.406,0.176,0.025,-0.176,False,0.031,29,0,0.036,0.004,587,176,22.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haggard-ksm,21,22,82157,3911.48,103.38,0,0.02,0.07,3.93,0.29,0.8805,0.2062,0.445,0.18,0.027,-0.189,False,0.027,33,0,0.09,0.0,174,63,11.11,ai_helper:openrouter:deepseek/deepseek-chat,21,22,82157,1553,1553,True,6.0,2.49,1,9,9,0.548,0.24,0.38,2.3,2.5,3,0.055,0.026,0.035,0.508,0.31,0.059,0.007,0.533,97.6,0.156,0.163,0.088,2,1,0.1,7.0,12,0,
haggard-she,29,29,112073,3883.17,93.28,0,0.03,0.08,6.26,0.283,0.868,0.2432,0.436,0.181,0.025,-0.18,False,0.026,31,0,0.09,0.0,302,34,7.26,ai_helper:openrouter:deepseek/deepseek-chat,29,29,112073,1343,1343,True,6.59,2.21,2,9,9,0.293,0.17,0.41,2.36,8.0,6,0.059,0.025,0.088,0.482,0.259,0.083,0.005,0.518,158.1,0.257,0.297,0.115,5,3,0.5,1.93,5,12,0.29
sabatini-captainblood,31,31,112892,3657.32,103.75,0,0.15,0.08,4.24,0.316,0.8818,0.2212,0.4,0.169,0.024,-0.15,False,0.025,36,0,0.11,0.0,237,96,17.03,ai_helper:openrouter:deepseek/deepseek-chat,31,31,112892,2648,2648,True,7.0,1.76,3,9,9,0.081,0.13,0.45,1.83,7.33,6,0.023,0.051,0.03,0.559,0.264,0.071,0.002,0.53,79.6,0.115,0.191,0.046,11,5,0.567,1.72,4,0,
sabatini-scaramouche,36,36,124291,3471.25,91.17,0,0.14,0.06,5.74,0.422,0.8587,0.252,0.391,0.183,0.033,-0.142,False,0.03,39,0,0.089,0.0,192,84,14.82,ai_helper:openrouter:deepseek/deepseek-chat,36,36,124291,3150,3150,True,6.08,2.11,2,9,9,0.097,0.22,0.33,1.83,7.0,3,0.016,0.037,0.018,0.637,0.21,0.081,0.001,0.468,83.2,0.177,0.148,0.027,10,7,0.571,1.71,5,7,0.54
stoker-dracula,28,29,161025,5753.25,86.01,0,0.06,0.06,8.83,0.36,0.8252,0.2715,0.517,0.239,0.037,-0.216,False,0.028,45,0,0.108,0.003,270,92,11.99,ai_helper:openrouter:deepseek/deepseek-chat,28,29,161025,2119,2119,True,6.46,2.11,1,9,9,0.554,0.11,0.46,2.19,5.33,1,0.038,0.011,0.041,0.481,0.238,0.078,0.112,0.543,138.1,0.153,0.281,0.079,6,5,0.444,2.15,4,12,0.41
tolstoy-warandpeace,365,366,562486,1572.17,81.93,0,0.12,0.06,3.78,0.209,0.7444,0.3788,0.375,0.16,0.033,-0.156,False,0.049,56,0,0.089,0.0,956,352,18.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wells-timemachine,16,16,32361,2033.06,84.41,0,0.0,0.06,5.4,0.124,0.912,0.1666,0.354,0.161,0.024,-0.259,False,0.031,39,0,0.123,0.0,26,3,1.02,ai_helper:openrouter:deepseek/deepseek-chat,16,16,32361,323,323,True,5.25,2.49,2,9,9,0.719,0.31,0.31,2.47,2.5,3,0.127,0.012,0.087,0.328,0.322,0.111,0.012,0.472,201.0,0.182,0.464,0.211,2,2,0.133,5.33,12,1,0.97
wells-warofworlds,27,27,59841,2225.56,86.28,0,0.06,0.02,4.57,0.06,0.8944,0.2048,0.344,0.157,0.024,-0.229,False,0.035,34,0,0.146,0.017,122,33,4.03,ai_helper:openrouter:deepseek/deepseek-chat,27,27,59841,910,910,True,6.33,2.28,2,9,9,0.352,0.19,0.44,1.77,3.67,2,0.151,0.015,0.074,0.257,0.4,0.09,0.013,0.578,111.4,0.169,0.369,0.271,8,3,0.5,1.93,10,0,
